Name,SMILES,valid,cLogP,TPSA,HBD,HBA,MW,RotB,Rings,HeavyAtoms,FracCSP3,Lipinski_violations,Flag_high_cLogP,Flag_high_TPSA,Flag_high_RotB,Flag_high_MW,Flag_low_MW,Flag_any,Flag_Category,Flag_Reasons
2c,[H]C(N(CC)/C=C/[C@@H](C)[C@@H](OC)[C@@H](C)[C@H](OC(C(C)C)=O)CC[C@H](C)[C@@H](OC)C[C@H](OC(CC)=O)C(C)C)=O,TRUE,5.633,91.37,0,7,541.77,20,0,38,0.833,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TooFlexible,too_flexible;too_hydrophobic_cLogP;lipinski_violations>=2
2a,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(CC)C([H])=O,TRUE,4.485,126.62,1,9,598.82,22,1,42,0.844,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TooFlexible,too_flexible
2u,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(C)C([H])=O,TRUE,4.094,126.62,1,9,584.8,21,1,41,0.839,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TooFlexible,too_flexible
Swinholide_A,C[C@@H]1O[C@H](C[C@@H](C1)OC)CC[C@@H]([C@H](O)[C@@H]([C@H]2OC(=O)/C=C/C(=C/C[C@@H](C[C@H]3O[C@H](C[C@@H]([C@H]([C@H](C[C@H]([C@@H]([C@H](OC(=O)/C=C/C(=C/C[C@@H](C[C@H]4O[C@H](C[C@@H]([C@H]([C@H](C[C@H]([C@@H]2C)O)O)C)OC)CC=C4)O)/C)[C@H]([C@@H](O)[C@H](CC[C@@H]5O[C@H](C[C@H](C5)OC)C)C)C)C)O)O)C)OC)CC=C3)O)/C)C)C,TRUE,10.108,288.28,8,20,1389.89,16,5,98,0.821,4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,VeryLarge,very_large_MW;too_flexible;too_polar_TPSA;too_hydrophobic_cLogP;lipinski_violations>=2
Aplyronine_A,C[C@@H]1CC[C@@H](/C(=C/C[C@H](C[C@H](/C=C/C[C@H](OC(=O)/C=C/C=C/C[C@H]([C@H]([C@@H]1O)C)OC(=O)[C@H](COC)N(C)C)[C@@H](C)[C@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)[C@H](C)N(C)C)O)OC)C)/C)OC,TRUE,7.736,200.14,2,16,1076.46,23,1,76,0.746,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,VeryLarge,very_large_MW;too_flexible;too_polar_TPSA;too_hydrophobic_cLogP;lipinski_violations>=2
Mycalolide_B,C[C@@H]1[C@H](C/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)[C@H]([C@H](C(=O)/C=C/C[C@@H](CC(=O)O[C@H]1C[C@@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)[C@@H](COC)OC)OC)O)C)OC)OC,TRUE,6.755,260.75,1,20,1027.17,21,4,73,0.615,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,VeryLarge,very_large_MW;too_flexible;too_polar_TPSA;too_hydrophobic_cLogP;lipinski_violations>=2
Sphinxolide_B,C[C@H]1/C=C/[C@H](C[C@@H]([C@H]([C@H]2[C@H](C(=CC(=O)O2)C[C@@H](C/C(=C\C=C\C(=O)O[C@@H]([C@H](/C=C/[C@@H](C[C@@H]1O)OC)C)[C@@H](C)[C@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H](C/C=C/N(C)C=O)OC)OC)/C)OC)O)C)OC)OC,TRUE,6.909,185.82,2,14,960.26,18,2,68,0.698,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,VeryLarge,very_large_MW;too_flexible;too_polar_TPSA;too_hydrophobic_cLogP;lipinski_violations>=2
Reidispongiolide_A,C[C@H]1/C=C/[C@H](C[C@@H]([C@H]([C@H]2CC(=CC(=O)O2)C[C@@H](C/C(=C/C=C/C(=O)O[C@@H]([C@H](/C=C/[C@@H](C[C@@H]1OC)OC)C)[C@@H](C)[C@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H](C/C=C/N(C)C=O)OC)OC)/C)OC)C)OC)OC,TRUE,8.592,154.59,0,13,958.28,19,2,68,0.704,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,VeryLarge,very_large_MW;too_flexible;too_polar_TPSA;too_hydrophobic_cLogP;lipinski_violations>=2
Kabiramide_C,C[C@H]1C[C@@H](CC(=O)O[C@H]([C@@H]([C@H](C/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)[C@@H]([C@H]([C@H](C1)O)C)OC)OC)C)C[C@@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC)OC)OC(=O)N,TRUE,7.199,251.24,2,17,942.12,17,4,67,0.646,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,VeryLarge,very_large_MW;too_flexible;too_polar_TPSA;too_hydrophobic_cLogP;lipinski_violations>=2
Ulapualide_A,C[C@H]1CC(=O)CCC[C@@H](CC(=O)O[C@H]([C@@H]([C@H](CC=CC2=NC(=CO2)C3=NC(=CO3)C4=NC1=CO4)OC)C)C[C@@H]([C@@H](C)CCC(=O)[C@@H](C)C(C(C)C=CN(C)CO)OC(=O)C)OC)O,TRUE,6.938,226.99,2,17,883.05,15,4,63,0.63,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,VeryLarge,very_large_MW;too_flexible;too_polar_TPSA;too_hydrophobic_cLogP;lipinski_violations>=2
Phalloidin,C[C@H]1C(=O)N[C@H]2CC3=C(NC4=CC=CC=C34)SC[C@@H](C(=O)N5C[C@H](C[C@H]5C(=O)N1)O)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)C[C@](C)(CO)O)C)[C@H](C)O,TRUE,-3.746,291.62,11,12,788.88,4,5,55,0.571,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,VeryLarge,very_large_MW;too_polar_TPSA;lipinski_violations>=2
Lobophorolide,C[C@H]1C[C@H](C[C@@H](O1)CC[C@H](C)[C@@H]([C@H](C)[C@@H]2[C@H]([C@@H](C[C@@H]([C@]3(CO3)[C@H](C[C@@H]4CC=C[C@H](O4)C[C@H]([C@@H](/C=C(/C=C/C(=O)O2)\C)O)OC)OC)OC)OC)C)O)OC,TRUE,5.12,143.9,2,12,767.01,11,4,54,0.833,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,VeryLarge,very_large_MW;too_flexible;too_polar_TPSA;too_hydrophobic_cLogP;lipinski_violations>=2
Jasplakinolide,C[C@@H]\1C[C@@H](OC(=O)C[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@H](C/C(=C1)/C)C)C)C)CC2=C(NC3=CC=CC=C32)Br)C4=CC=C(C=C4)O)C,TRUE,5.702,140.83,4,6,709.68,3,4,47,0.444,2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,VeryLarge,very_large_MW;too_polar_TPSA;too_hydrophobic_cLogP;lipinski_violations>=2
Bistramide_A,C/C=C/C(=O)C[C@H]1CC[C@@H]([C@@H](O1)CC(=O)NC[C@@H]([C@H](C)C(=O)NCCC[C@@H]2[C@H](CC[C@@]3(O2)CCC[C@@H](O3)CC[C@H](C)/C=C(\C)/[C@H](C)O)C)O)C,TRUE,5.929,143.42,4,8,704.99,18,3,50,0.825,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,VeryLarge,very_large_MW;too_flexible;too_polar_TPSA;too_hydrophobic_cLogP;lipinski_violations>=2
Cytochalasin_D,C[C@H]1C/C=C/[C@H]2[C@@H](C(=C)[C@H]([C@@H]3[C@@]2([C@@H](/C=C/[C@@](C1=O)(C)O)OC(=O)C)C(=O)N[C@H]3CC4=CC=CC=C4)C)O,TRUE,2.917,112.93,3,6,507.63,3,4,37,0.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OK,
Cytochalasin_B,C[C@@H]1CCC[C@H](/C=C/C(=O)O[C@]23[C@@H](/C=C/C1)[C@@H](C(=C)[C@H]([C@H]2[C@@H](NC3=O)CC4=CC=CC=C4)C)O)O,TRUE,3.492,95.86,3,5,479.62,2,4,35,0.517,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OK,
Latrunculin_B,C[C@H]/1CC[C@@H]2C[C@H](C[C@@](O2)([C@@H]3CSC(=O)N3)O)OC(=O)/C=C(\CC/C=C1)/C,TRUE,3.303,84.86,2,6,395.52,1,3,27,0.7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OK,
